PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
F0000,5pk1/6pp/8/8/8/8/8/R5K1 b - - 0 1,f8f7 a1a8,600,75,90,1000,mateIn1 short,https://lichess.org/fixture0#20,
F0001,k5q1/8/8/8/8/5n2/6K1/8 w - - 0 1,g2h1 g8g1,953,75,90,1001,mateIn1 short,https://lichess.org/fixture1#21,
F0002,r6k/6pp/8/6N1/8/8/8/7K b - - 0 1,a8g8 g5f7,1306,75,90,1002,mateIn1 short,https://lichess.org/fixture2#22,
F0003,6rk/8/8/8/8/8/K6r/8 w - - 0 1,a2a1 g8g1,1659,75,90,1003,mateIn1 short,https://lichess.org/fixture3#23,
F0004,8/k7/2K5/8/8/8/8/1Q6 b - - 0 1,a7a8 b1b7,2012,75,90,1004,mateIn1 short,https://lichess.org/fixture4#24,
F0005,7k/3R4/7q/8/8/8/8/4KR2 w - - 0 1,d7d1 h6e3,2365,75,90,1005,mateIn1 short,https://lichess.org/fixture5#25,
F0006,8/3Q2k1/6P1/8/8/8/8/7K b - - 0 1,g7h8 d7h7,918,75,90,1006,mateIn1 short,https://lichess.org/fixture6#26,
F0007,r7/8/7K/5k2/8/8/8/8 w - - 0 1,h6h5 a8h8,1271,75,90,1007,mateIn1 short,https://lichess.org/fixture7#27,
F0008,8/6k1/8/6K1/8/8/8/1Q6 b - - 0 1,g7h8 g5g6 h8g8 b1b8,1624,75,90,1008,mateIn2 short,https://lichess.org/fixture8#28,
F0009,1K6/8/8/1k6/8/8/8/6q1 w - - 0 1,b8a8 b5b6 a8b8 g1g8,1977,75,90,1009,mateIn2 short,https://lichess.org/fixture9#29,
F0010,8/6k1/8/6K1/8/8/8/R7 b - - 0 1,g7h8 g5g6 h8g8 a1a8,2330,75,90,1010,mateIn2 short,https://lichess.org/fixture10#30,
F0011,6rk/8/8/8/8/K4r2/8/8 w - - 0 1,a3b2 g8g2 b2b1 f3f1,883,75,90,1011,mateIn2 short,https://lichess.org/fixture11#31,
F0012,6R1/8/8/8/8/5R2/8/k6K b - - 0 1,a1b2 g8g2 b2b1 f3f1,1236,75,90,1012,mateIn2 short,https://lichess.org/fixture12#32,
F0013,4r1k1/4r3/8/8/8/8/6PP/R3RPK1 w - - 0 1,f1f2 e7e1 a1e1 e8e1,1589,75,90,1013,mateIn2 short,https://lichess.org/fixture13#33,
F0014,r3rpk1/6pp/8/8/8/8/4Q3/4R1K1 b - - 0 1,f8f7 e2e8 a8e8 e1e8,1942,75,90,1014,mateIn2 short,https://lichess.org/fixture14#34,
F0015,4K3/8/2r5/r7/3kP2P/8/8/8 w - - 0 1,e8f8 a5a7 e4e5 c6c8,2295,75,90,1015,mateIn2 short,https://lichess.org/fixture15#35,
F0016,8/8/8/k6R/8/8/8/6RK b - - 0 1,a5b6 g1g6 b6a7 h5h7 a7a8 g6g8,848,75,90,1016,mateIn3 long,https://lichess.org/fixture16#36,
F0017,1r5k/8/8/8/r4K2/8/8/8 w - - 0 1,f4g3 b8b3 g3f2 a4a2 f2e1 b3b1,1201,75,90,1017,mateIn3 long,https://lichess.org/fixture17#37,
F0018,8/k7/8/K7/8/8/8/1Q6 b - - 0 1,a7a8 a5b6 a8b8 b1b5 b8c8 b5e8,1554,75,90,1018,mateIn3 long,https://lichess.org/fixture18#38,
F0019,r7/8/8/8/k7/8/K7/8 w - - 0 1,a2a1 a4a3 a1b1 a8c8 b1a1 c8c1,1907,75,90,1019,mateIn3 long,https://lichess.org/fixture19#39,
F0020,8/6k1/3P4/5K2/8/8/8/8 b - - 0 1,g7h8 f5g6 h8g8 d6d7 g8h8 d7d8q,2260,75,90,1020,mateIn3 long,https://lichess.org/fixture20#40,
F0021,r7/4k3/8/6K1/8/8/8/7Q w - - 0 1,g5h4 a8h8 h4g3 h8h1,813,75,90,1021,skewer endgame,https://lichess.org/fixture21#41,
F0022,3q4/8/8/8/2k5/8/4K3/R7 b - - 0 1,c4d5 a1d1 d5c6 d1d8,1166,75,90,1022,skewer endgame,https://lichess.org/fixture22#42,
